convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Genetic algorithm,0.5445552839209531,0.356258622149611,0.02,23.82,18.190253052732636,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.02
Genetic algorithm,0.5915727019869689,0.38401979052663454,0.04,23.88,17.999591832106887,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.05
Genetic algorithm,0.6086087530461838,0.3561383450962306,0.0,34.52,20.171954667360346,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.1
Genetic algorithm,0.7206775952585579,0.251523278518687,0.0,44.6,14.759293163762198,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.2
Genetic algorithm,0.6510073326636321,0.3126446821516346,0.0,41.4,17.928429140015904,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.3
Genetic algorithm,0.5939065648141736,0.341994797087553,0.0,38.54,19.899964106213144,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.5
Genetic algorithm,0.5441982143287685,0.38376827344690406,0.06,25,19.235384061671343,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.02
Genetic algorithm,0.597006755350785,0.3746182345514782,0.04,24.92,18.992845054527933,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.05
Genetic algorithm,0.5812967755197844,0.39029997283150697,0.0,33.56,21.01132833419503,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.1
Genetic algorithm,0.6849551207178838,0.3112749724443598,0.0,40.68,18.066137000544664,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.2
Genetic algorithm,0.7442656071719095,0.22980143008156426,0.0,43.7,14.7388837391965,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.3
Genetic algorithm,0.5973295741706162,0.36281899228500836,0.0,38.2,20.298788543322743,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.5
Genetic algorithm,0.4887848075452392,0.41526594183897436,0.06,22.08,19.46198806884427,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.02
Genetic algorithm,0.5076219540672081,0.3884498532475254,0.0,24.36,19.815228116429104,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.05
Genetic algorithm,0.6675501764172075,0.3453907892998673,0.04,36.26,19.707876805056028,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.1
Genetic algorithm,0.6760538205600232,0.30433606887001224,0.02,41.22,17.55724165960808,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.2
Genetic algorithm,0.6141692104517319,0.3362404572162288,0.0,38.98,19.857132579647907,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.3
Genetic algorithm,0.6351976305257536,0.32998479293288824,0.0,39.36,19.20114792486775,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function RTS at 0x7f5eaa0dd160>; mutation=0.5
Genetic algorithm,0.46832190252838873,0.3179997161469192,0.0,8.66,5.247390021793342,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.02
Genetic algorithm,0.3974042186466485,0.3239696383286506,0.0,9.68,8.702427529026552,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.05
Genetic algorithm,0.5521021524121364,0.38285303029739737,0.0,23.78,19.341496048334914,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.1
Genetic algorithm,0.6829993607726592,0.3062050145902454,0.02,39.74,17.778466681663534,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.2
Genetic algorithm,0.577685394640191,0.35006118772864614,0.0,36.16,20.40644156002847,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.3
Genetic algorithm,0.6573199658335807,0.32178380037869303,0.0,40.56,18.226645666301245,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.5
Genetic algorithm,0.3840866543936969,0.3086722881017963,0.0,6.92,4.379171480673354,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.02
Genetic algorithm,0.3327633638851324,0.3417347952254111,0.0,6.26,4.029533826281008,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.05
Genetic algorithm,0.5962142848307159,0.37215261696686086,0.02,22.02,16.504161503656448,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.1
Genetic algorithm,0.6304557137523341,0.3627796826940974,0.0,38,20.080450438073306,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.2
Genetic algorithm,0.5970963652938998,0.3425809487138693,0.0,38.92,19.749285701368688,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.3
Genetic algorithm,0.6516033219859623,0.3334929298254465,0.02,39.8,18.81922594864418,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.5
Genetic algorithm,0.43249642806034483,0.33935807820553804,0.0,8.06,5.064522460716512,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.02
Genetic algorithm,0.46276419987179884,0.3547374952646759,0.02,8.82,5.389672664324934,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.05
Genetic algorithm,0.5658622805935786,0.3494485958666282,0.0,23.56,17.209584420269053,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.1
Genetic algorithm,0.6270557426788876,0.3591415706642633,0.0,38.5,19.868188089485756,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.2
Genetic algorithm,0.607314515687114,0.350118908617322,0.0,36.78,20.204353945804527,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.3
Genetic algorithm,0.6794640511570841,0.305436476861004,0.0,42.7,17.06320782339856,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function select_best_half at 0x7f5eaa0dd1f0>; mutation=0.5
Genetic algorithm,0.34805723469549105,0.33228061066542974,0.0,4.98,1.7669297711925425,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.02
Genetic algorithm,0.3551672552401611,0.30310309971694993,0.0,5.08,1.860875370049575,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.05
Genetic algorithm,0.37441206782062225,0.2776991462195141,0.0,5.32,2.0347992931159835,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.1
Genetic algorithm,0.41432267694238906,0.30713869430376206,0.0,5.88,3.414494912897672,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.2
Genetic algorithm,0.34488877960679204,0.3057953565347538,0.0,5.6,2.390457218668787,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.3
Genetic algorithm,0.3933397249438582,0.3038074676766682,0.0,6.04,3.06367792840233,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.5
Genetic algorithm,0.30710284085246153,0.2879468594751261,0.0,5.2,2.2406267344797315,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.02
Genetic algorithm,0.28843051633128763,0.3047781683877146,0.0,4.54,1.4874989281422994,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.05
Genetic algorithm,0.4061224656423251,0.3049966147683977,0.0,6.22,3.025672466998208,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.1
Genetic algorithm,0.4374678824927813,0.2835315025025345,0.0,6.02,3.1199816849279283,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.2
Genetic algorithm,0.32824292607197314,0.29407739675209055,0.0,5.56,2.719243592303881,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.3
Genetic algorithm,0.5068330546796186,0.25564562707547744,0.0,5.66,2.2642744479214976,pop_size=2; reproductor=<function twopoint_crossover at 0x7f5eaa0d4790>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.5
Genetic algorithm,0.35379579061056393,0.3125333589198164,0.0,4.9,2.2246302146282053,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.02
Genetic algorithm,0.3117034502751343,0.3027296728138241,0.0,4.88,1.6492422502470643,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.05
Genetic algorithm,0.43635126088628456,0.2943988739342828,0.0,6.74,3.932128259996261,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.1
Genetic algorithm,0.4631083864185941,0.28847043935656336,0.0,6.2,3.1879876577744852,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.2
Genetic algorithm,0.42063669982774027,0.28255267425354924,0.0,5.8,2.718042512920064,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.3
Genetic algorithm,0.42753776889364,0.32638562509179186,0.0,5.52,2.5414121094785243,pop_size=2; reproductor=<function onepoint_crossover at 0x7f5eaa0d4700>; selector=<function tournament2_selection at 0x7f5eaa0dd280>; mutation=0.5
Genetic algorithm,0.31805906548080143,0.27473605531495926,0.0,4.28,0.9484681527255904,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.02
Genetic algorithm,0.2952204868071641,0.32547795805145546,0.0,4.5,1.6567733578204573,pop_size=2; reproductor=<function uniform_crossover at 0x7f5eaa0d4670>; selector=<function tournament4_selection at 0x7f5eaa0dd310>; mutation=0.05
