GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Genetic algorithm,0.39698843555858926,0.41443641526832753,0.0,14.55,10.855389153973732,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.02
Genetic algorithm,0.4455546214709306,0.4258121579978803,0.0,15.7,10.863264993352113,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.05
Genetic algorithm,0.6803249885379411,0.36641615270984534,0.0,21.1,8.783357468590962,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.1
Genetic algorithm,0.4263675651386874,0.41467534279742413,0.0,16.1,11.22919128174889,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.2
Genetic algorithm,0.3625728390084906,0.42725649165051366,0.0,13.9,11.22919128174889,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.3
Genetic algorithm,0.4018631479834255,0.41650094161896345,0.0,15,11.285761872936694,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.5
Genetic algorithm,0.5549390512247089,0.42528250187072264,0.0,17.65,10.614166303379152,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.02
Genetic algorithm,0.4023026161341983,0.46042405746645,0.05,13.3,10.988510746277342,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.05
Genetic algorithm,0.5446901211387166,0.42015382418360864,0.0,17.85,10.434129222488044,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.1
Genetic algorithm,0.5418154715101275,0.4151416307407669,0.0,18.05,10.58536725862641,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.2
Genetic algorithm,0.45303714074045826,0.4286331931829308,0.0,16.1,11.22919128174889,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.3
Genetic algorithm,0.5710473462751023,0.36352916348208636,0.0,20.5,9.773756483025023,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.5
Genetic algorithm,0.3913660281680915,0.4243979855875864,0.0,13.9,10.987552766174717,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.02
Genetic algorithm,0.6062950441421249,0.4009121781603492,0.0,18.9,9.541598674391933,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.05
Genetic algorithm,0.5250577425174732,0.4027566123588913,0.0,17.9,10.472520432566666,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.1
Genetic algorithm,0.36518881454353164,0.4186295951613276,0.0,13.85,11.174571697903188,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.2
Genetic algorithm,0.3731092141751638,0.42424208838638733,0.0,13.9,11.22919128174889,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.3
Genetic algorithm,0.4928724628425816,0.4203886437745261,0.0,17.2,11.057743178900761,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.5
Genetic algorithm,0.40712129041718176,0.36296113936746566,0.0,8.25,4.44705698068663,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.02
Genetic algorithm,0.27070247861664987,0.35991258732623954,0.0,8.05,5.915857369904436,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.05
Genetic algorithm,0.37632343673332225,0.4298370594086159,0.0,13.75,11.063810136514551,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.1
Genetic algorithm,0.5235216232185329,0.40148635535604527,0.0,16.25,10.62705088565571,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.2
Genetic algorithm,0.36938231619211825,0.4205583017082242,0.0,13.9,11.22919128174889,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.3
Genetic algorithm,0.47709767783888185,0.4112621544047513,0.0,17.2,11.057743178900761,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.5
Genetic algorithm,0.2696349715237616,0.3112878021500333,0.0,5.5,2.564945880212885,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.02
Genetic algorithm,0.3417327411804105,0.3174777385972719,0.0,8.1,5.637281913158242,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.05
Genetic algorithm,0.49600282043039673,0.4271128613555943,0.0,13.65,9.863676052220992,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.1
Genetic algorithm,0.5015439832018618,0.4290934719377695,0.0,16.2,11.033918996487722,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.2
Genetic algorithm,0.40928527242258617,0.4227002324952213,0.0,15,11.285761872936694,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.3
Genetic algorithm,0.35887859441314857,0.3788425328044516,0.0,15,11.285761872936694,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.5
Genetic algorithm,0.36151251523095124,0.39482208402445146,0.0,9.45,7.366174469545877,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.02
Genetic algorithm,0.32676598966554404,0.3695821613225154,0.0,7.35,5.931849804678398,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.05
Genetic algorithm,0.4347984410474239,0.415616938709945,0.0,11.95,9.939157011802518,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.1
Genetic algorithm,0.48185597713178485,0.4158087113614775,0.0,16.4,10.762508023103557,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.2
Genetic algorithm,0.4647133140070312,0.4369165365093071,0.0,16,11.140254178334295,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.3
Genetic algorithm,0.5383084353967006,0.38259504393513255,0.0,19.4,10.343571611595799,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.5
Genetic algorithm,0.1920485153161812,0.3205307568955715,0.0,4.6,1.353358395757909,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.02
Genetic algorithm,0.24795384583345736,0.32833903275468446,0.0,5.3,3.2943332525637667,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.05
Genetic algorithm,0.4152888590736886,0.3528201490697457,0.0,6.2,3.237933063902926,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.1
Genetic algorithm,0.2684507622829829,0.3247992994303572,0.0,5.7,2.848822471422923,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.2
Genetic algorithm,0.32697890695636644,0.3390541779511079,0.0,5.2,2.0925934551223877,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.3
Genetic algorithm,0.22975224095154734,0.3244029203506089,0.0,4.7,1.1742858972247996,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.5
Genetic algorithm,0.22012684814743722,0.29266547382529395,0.0,4.5,2.164303704731799,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.02
Genetic algorithm,0.2214146252283257,0.2881867438123467,0.0,5.15,2.3902213066443956,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.05
Genetic algorithm,0.22432752291722186,0.288436766904785,0.0,5.55,2.6650762801367183,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.1
Genetic algorithm,0.32187353819060327,0.33811932447654086,0.0,5.3,2.53605578553951,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.2
Genetic algorithm,0.3625378386639876,0.3346504697962601,0.0,6.2,4.250077398676034,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.3
Genetic algorithm,0.29082829575562,0.327082310199727,0.0,5.5,2.585384019118976,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.5
Genetic algorithm,0.2048005678910399,0.31879587696121264,0.0,4.5,2.305599590927317,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.02
Genetic algorithm,0.3332170459103488,0.3325449140017091,0.0,4.55,1.190974832912761,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function tournament2_selection at 0x7f98931ced30>; mutation=0.05
